Exercise,Muscle Groups,Engagement Percentages,Equipment
heel-touch,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
cable-lying-alternating-arm-leg-reach,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Cables']
dumbbell-box-jump,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']","['Box', 'Dumbbell']"
prone-leg-raise,['back_lower_back'],['100.0%'],['Bodyweight']
yoga-ball-hands-to-feet,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Yoga Ball']
single-leg-kettlebell-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
kettlebell-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
alternating-dumbbell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Dumbbell']"
yoga-ball-kneeling-rollout,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Yoga Ball']
single-kettlebell-halo,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
half-kneeling-dumbbell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Dumbbell', 'Hammer']"
seated-kettlebell-rear-delt-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
dumbbell-side-plank-dip,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
band-glute-kickback,['back_glutes'],['100.0%'],['Bands']
med-ball-lateral-lunge,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Medball']
single-leg-calf-raise-on-leg-press,['back_calves'],['100.0%'],['Machine']
ladder-shuffle,"['back_calves', 'back_hip_abductors', 'front_hip_abductors']","['100.0%', '40.0%', '40.0%']",['Ladder']
dumbbell-standing-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
band-floor-overhead-row,['back_lats'],['100.0%'],['Bands']
yoga-ball-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Yoga Ball']"
jump-squat,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
single-leg-kettlebell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Kettlebell']"
bosu-dumbbell-sit-up,['front_abs'],['100.0%'],"['Bosu', 'Dumbbell']"
arm-extended-neck-stretch,"['back_neck', 'back_hamstrings', 'front_neck', 'front_traps']","['100.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
dumbbell-plank-weight-drag-through,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
back-extension,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
barbell-overhead-row,['back_lats'],['100.0%'],['Barbell']
