Exercise,Muscle Groups,Engagement Percentages,Equipment
weighted-chin-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Pull-Up Bar']
inchworm,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
thumb-forearm-stretch,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Bodyweight']
dumbbell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Dumbbell']"
alternating-dumbbell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Dumbbell', 'Hammer']"
kettlebell-single-leg-wall-sit,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Kettlebell']
ez-bar-half-curl,['front_biceps'],['100.0%'],['EZ Curl Bar']
dumbbell-sumo-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%', '100.0%']",['Dumbbell']
single-arm-hammer-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Machine', 'Hammer']"
very-incline-pike-push-up,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
bosu-single-kettlebell-sit-up,['front_abs'],['100.0%'],"['Bosu', 'Kettlebell']"
dumbbell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
barbell-back-extension,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '40.0%']",['Barbell']
dumbbell-back-extension,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '40.0%']",['Dumbbell']
dumbbell-external-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
ninja-tuck-jump,"['back_calves', 'front_hip_flexors', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Bodyweight']
seated-kettlebell-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']","['Bench', 'Kettlebell']"
ladder-shuffle-hop,"['back_calves', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']",['Ladder']
nordic,"['back_lower_back', 'back_hamstrings']","['40.0%', '100.0%']",['Bodyweight']
med-ball-step-up,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Box', 'Medball']"
plank-shoulder-tap,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
barbell-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Barbell']
cable-lumberjack-squat-high-to-low,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Cables']
barbell-push-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Barbell']
band-hammer-curl,['front_biceps'],['100.0%'],"['Bands', 'Hammer']"
seated-cable-hammer-curl,['front_biceps'],['100.0%'],"['Cables', 'Hammer']"
side-shuffle,"['back_glutes', 'front_quads']","['100.0%', '40.0%']",['Bodyweight']
half-kneeling-dumbbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
bodyweight-leg-abduction,"['back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%']",['Bodyweight']
plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
seated-med-ball-curl,['front_biceps'],['100.0%'],['Medball']
sprinter-up,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Bodyweight']
alternating-kettlebell-curl,['front_biceps'],['100.0%'],['Kettlebell']
dumbbell-lunge-and-press,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
dumbbell-floor-tricep-cycle,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Dumbbell']
med-ball-standing-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Medball']
cable-chest-supported-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Cables']"
trx-row-to-x,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['trx']
high-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
hollow-roll,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
plate-decline-sit-up,['front_abs'],['100.0%'],['Bench']
band-chin-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bands', 'Pull-Up Bar']"
band-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Bands']
dumbbell-floor-squeeze-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Dumbbell']
alternating-arm-leg-reach,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
kettlebell-cossack-squat,"['back_glutes', 'back_hip_abductors', 'back_hip_adductors', 'back_hamstrings', 'front_hip_abductors', 'front_hip_adductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%', '100.0%']",['Kettlebell']
band-bench-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bands', 'Bench']"
med-ball-step-up-to-lateral-leg-raise,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']","['Box', 'Medball']"
single-kettlebell-floor-overhead-row,['back_lats'],['100.0%'],['Kettlebell']
trx-curl,['front_biceps'],['100.0%'],['trx']
med-ball-step-up-to-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Box', 'Medball']"
cable-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Cables']
incline-tricep-push-up,"['back_hamstrings', 'front_chest']","['100.0%', '100.0%']",['Bodyweight']
seated-dumbbell-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
hand-roller-inner-quad,"['back_hip_adductors', 'front_hip_adductors', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Roller']
dumbbell-standing-snow-angel,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
dumbbell-sumo-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
kettlebell-staggered-stance-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Kettlebell']
med-ball-bulgarian-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Box', 'Medball']"
dumbbell-bent-over-w-raise,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
barbell-front-rack-split-squat,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
med-ball-floor-overhead-row,['back_lats'],['100.0%'],['Medball']
march,['front_hip_flexors'],['100.0%'],['Bodyweight']
yoga-ball-dumbbell-crunch,['front_abs'],['100.0%'],"['Dumbbell', 'Yoga Ball']"
dumbbell-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Dumbbell']
med-ball-crunch,['front_abs'],['100.0%'],['Medball']
machine-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Machine']"
dive-bomber-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
band-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Bands']
alternating-band-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
dumbbell-standing-figure-8,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
push-up-to-reach,"['back_hamstrings', 'front_chest', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
kettlebell-plie-squat-to-calf-raise,"['back_calves', 'back_glutes', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Kettlebell']
barbell-split-jerk,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Barbell']
half-kneeling-cable-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
mountain-climber,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
spiderman-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
dumbbell-one-arm-elevated-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Dumbbell']
med-ball-floor-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Medball']
barbell-hex-bar-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']","['Barbell', 'Hex Bar']"
standing-calf-stretch,['back_calves'],['100.0%'],['Bodyweight']
half-kneeling-barbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Barbell']
kettlebell-reverse-half-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
med-ball-curl,['front_biceps'],['100.0%'],['Medball']
kettlebell-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Kettlebell']
kettlebell-back-extension,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '40.0%']",['Kettlebell']
barbell-incline-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Barbell', 'Bench']"
l-sit,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
dip-position-shrug,"['back_lats', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%', '40.0%']",['Dip Bar']
bodyweight-froggys,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
dumbbell-reverse-half-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
single-leg-kettlebell-calf-raise,['back_calves'],['100.0%'],['Kettlebell']
alternating-kettlebell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
kettlebell-preacher-curl,['front_biceps'],['100.0%'],['Kettlebell']
pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Pull-Up Bar']
kettlebell-farmers-carry,"['back_forearms', 'front_abs', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Kettlebell']
kettlebell-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
single-leg-med-ball-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Medball']
single-arm-band-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
kettlebell-superman-hold,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Kettlebell']
single-kettlebell-one-arm-elevated-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Kettlebell']
band-bulgarian-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Bands', 'Box']"
hand-roller-calf,['back_calves'],['100.0%'],['Roller']
chair-plank-jack,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
barbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Barbell']
barbell-sumo-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%', '100.0%']",['Barbell']
chair-mountain-climber,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
barbell-walking-lunge,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Barbell']
half-kneeling-cable-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
dumbbell-deadlift-to-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
trx-hollow-body-hold,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['trx']
yoga-ball-med-ball-sit-up,['front_abs'],['100.0%'],"['Yoga Ball', 'Medball']"
kettlebell-hip-thrust-hold,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Kettlebell']"
med-ball-jump-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Medball']
buttkick,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Bodyweight']
bodyweight-tibialis-raise,['front_tibialis'],['100.0%'],['Bodyweight']
stair-climb,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Machine']
single-arm-toe-touch-reach,"['back_lower_back', 'back_hamstrings']","['40.0%', '100.0%']",['Bodyweight']
bodyweight-standing-hip-rotation,['front_hip_flexors'],['100.0%'],['Bodyweight']
yoga-ball-med-ball-crunch,['front_abs'],['100.0%'],"['Yoga Ball', 'Medball']"
push-up-position-toe-touch,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
dumbbell-internal-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
kettlebell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
bench-dip,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Bench']
landmine-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']","['Barbell', 'Landmine']"
cable-hammer-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Cables', 'Hammer']"
pec-stretch,['front_chest'],['100.0%'],['Bodyweight']
barbell-landmine-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Barbell', 'Landmine']"
seated-dumbbell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Dumbbell', 'Hammer']"
dumbbell-front-rack-split-squat,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
barbell-front-squat,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
cable-shrug,"['back_hamstrings', 'front_traps']","['100.0%', '100.0%']",['Cables']
machine-leg-extension,['front_quads'],['100.0%'],['Machine']
incline-pike-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
overhead-rack-roll,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
full-med-ball-clean-and-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Medball']
lying-hamstring-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
dumbbell-shrug,"['back_hamstrings', 'front_traps']","['100.0%', '100.0%']",['Dumbbell']
half-burpee,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Dumbbell']
dumbbell-tricep-extension,['back_hamstrings'],['100.0%'],['Dumbbell']
bodyweight-internal-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
ladder-lateral-skier,"['back_calves', 'front_hip_flexors', 'front_quads']","['100.0%', '40.0%', '40.0%']",['Ladder']
seated-med-ball-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Medball']
dumbbell-plie-squat-to-calf-raise,"['back_calves', 'back_glutes', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Dumbbell']
kettlebell-tricep-extension,['back_hamstrings'],['100.0%'],['Kettlebell']
band-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
med-ball-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Medball']"
hip-flexor-roller,['front_hip_flexors'],['100.0%'],['Roller']
dumbbell-reach-curl-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_biceps', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Dumbbell']
med-ball-step-down,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Box', 'Medball']"
band-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
alternating-cable-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
yoga-ball-dumbbell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Dumbbell', 'Yoga Ball', 'Hammer']"
seated-med-ball-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Medball']
single-leg-dumbbell-calf-raise,['back_calves'],['100.0%'],['Dumbbell']
bulgarian-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Box']
band-chair-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Bands']
dumbbell-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
med-ball-overhead-lunge,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Medball']
floor-reach,"['back_lats', 'back_hamstrings', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
kettlebell-overhead-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
dumbbell-lying-alt-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Dumbbell']
bosu-half-burpee,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_hip_flexors', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '40.0%', '100.0%', '100.0%']",['Bosu']
barbell-clean-pull,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
dumbbell-man-maker-push-up,"['back_lats', 'back_hamstrings', 'front_abs', 'front_biceps', 'front_chest', 'front_hip_flexors', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '40.0%', '40.0%', '100.0%']",['Dumbbell']
weighted-band-pallof-punch,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
band-assisted-dip,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']","['Bands', 'Dip Bar']"
bosu-plank-to-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Bosu']
kettlebell-half-off-bench-press,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%', '40.0%']","['Bench', 'Kettlebell']"
barbell-jump-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Barbell']
dumbbell-incline-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Bench', 'Dumbbell']"
cable-floor-overhead-row,['back_lats'],['100.0%'],['Cables']
cable-tricep-pushdown,['back_hamstrings'],['100.0%'],['Cables']
band-archer-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bands']
quad-roller,['front_quads'],['100.0%'],['Roller']
dumbbell-overhead-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
dumbbell-firemans-carry,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
dumbbell-step-up-to-lateral-leg-raise,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']","['Box', 'Dumbbell']"
dumbbell-overhead-row,['back_lats'],['100.0%'],['Dumbbell']
yoga-ball-kettlebell-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']","['Kettlebell', 'Yoga Ball']"
trx-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['trx']
yoga-ball-dumbbell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Dumbbell', 'Yoga Ball']"
kettlebell-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
explosive-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
dip-position-alt-leg-raise,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Dip Bar']
quad-stretch,['front_quads'],['100.0%'],['Bodyweight']
yoga-ball-dumbbell-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']","['Dumbbell', 'Yoga Ball']"
dumbbell-forearm-rotation,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Dumbbell']
band-kickback,['back_hamstrings'],['100.0%'],['Bands']
med-ball-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
machine-assisted-chin-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
band-chest-supported-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bands', 'Bench']"
yoga-ball-sit-up,['front_abs'],['100.0%'],['Yoga Ball']
half-kneeling-band-pallof-circle,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
band-squat-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bands']
dumbbell-upright-row,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Dumbbell']
bodyweight-walking-lunge,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
alternating-cable-curl,['front_biceps'],['100.0%'],['Cables']
slider-single-arm-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
bent-over-swimmer,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
hammer-machine-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Machine', 'Hammer']"
plank-jack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
bent-knee-chair-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Bodyweight']
plyo-rabbit,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
alternating-underhand-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
dumbbell-preacher-curl,['front_biceps'],['100.0%'],['Dumbbell']
alternating-dumbbell-curl,['front_biceps'],['100.0%'],['Dumbbell']
floor-y,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
cable-curl,['front_biceps'],['100.0%'],['Cables']
cable-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
dumbbell-clean-and-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
bear-crawl,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
half-kneeling-cable-lumberjack-high-to-low,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
band-plank-overhead-row,"['back_lats', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Bands']
seated-cable-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
west-side-barbell-box-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Barbell', 'Box']"
kettlebell-rear-delt-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
